AcYear,Semester,Year,Course_num_official,Course_num_grouped,Course Name,Discipline,CB_type,Enrollment,Cap,Percent_cap
20172018,fall,2017,BIOL-304CBL,BIOL-304CBL,Health Coaches I w/CBL,BMS,,12,,#DIV/0!
20182019,fall,2018,BIOL-304CBL,BIOL-304CBL,Health Coaches I w/CBL,BMS,,13,,#DIV/0!
20192020,fall,2019,BIOL-304CBL,BIOL-304CBL,Health Coaches I w/CBL,BMS,,12,,#DIV/0!
20212022,fall,2021,BIOL-304CBL,BIOL-304CBL,Health Coaches I w/CBL,BMS,,12,,#DIV/0!
20172018,spr,2018,BIOL-305CBL,BIOL-304CBL,Health Coaches II w/CBL,BMS,,11,,#DIV/0!
20182019,spr,2019,BIOL-305CBL,BIOL-304CBL,Health Coaches II w/CBL,BMS,,10,,#DIV/0!
20192020,spr,2020,BIOL-305CBL,BIOL-304CBL,Health Coaches II w/CBL,BMS,,10,,#DIV/0!
20202021,spr,2021,BIOL-305CBL,BIOL-304CBL,Health Coaches II w/CBL,BMS,,9,,#DIV/0!
20212022,spr,2022,BIOL-305CBL,BIOL-304CBL,Health Coaches II w/CBL,BMS,,11,,#DIV/0!
20182019,fall,2018,BIOL-370,BIOL-370,Hormones Disease&Development,Org,,9,,#DIV/0!
20192020,fall,2019,BIOL-370,BIOL-370,Hormones Disease&Development,Org,,6,,#DIV/0!
20212022,spr,2022,BIOL-370,BIOL-370,Hormones Disease&Development,Org,,9,,#DIV/0!
20192020,spr,2020,BIOL-353,BIOL-353,Human Embryology,Org,,14,,#DIV/0!
20202021,spr,2021,BIOL-353,BIOL-353,Human Embryology,Org,,9,,#DIV/0!
20212022,spr,2022,BIOL-353,BIOL-353,Human Embryology,Org,,10,,#DIV/0!
20182019,fall,2018,BIOL-315,BIOL-315,Human Nutrition,BMS,,14,,#DIV/0!
20172018,spr,2018,BIOL-315,BIOL-315,Human Nutrition,BMS,,16,,#DIV/0!
20192020,spr,2020,BIOL-315,BIOL-315,Human Nutrition,BMS,,16,,#DIV/0!
20202021,spr,2021,BIOL-315,BIOL-315,Human Nutrition,BMS,,16,,#DIV/0!
20212022,spr,2022,BIOL-315,BIOL-315,Human Nutrition,BMS,,16,,#DIV/0!
20172018,fall,2017,BIOL-333,BIOL-333,Immunology w/Lab,Molec,,10,,#DIV/0!
20182019,fall,2018,BIOL-333,BIOL-333,Immunology w/Lab,Molec,,7,,#DIV/0!
20192020,fall,2019,BIOL-333,BIOL-333,Immunology w/Lab,Molec,,7,,#DIV/0!
20202021,fall,2020,BIOL-333,BIOL-333,Immunology w/Lab,Molec,,8,,#DIV/0!
20212022,fall,2021,BIOL-333,BIOL-333,Immunology w/Lab,Molec,,6,,#DIV/0!
20172018,fall,2017,BIOL-288,BIOL-288,Intro Neuroscience w/Lab,Nrsci,,21,24,87.5
20182019,fall,2018,BIOL-288,BIOL-288,Intro Neuroscience w/Lab,Nrsci,,23,,#DIV/0!
20192020,fall,2019,BIOL-288,BIOL-288,Intro Neuroscience w/Lab,Nrsci,,27,,#DIV/0!
20202021,fall,2020,BIOL-288,BIOL-288,Intro Neuroscience w/Lab,Nrsci,,14,,#DIV/0!
20212022,fall,2021,BIOL-288,BIOL-288,Intro Neuroscience w/Lab,Nrsci,,27,,#DIV/0!
20172018,fall,2017,BIOL-250,BIOL-250,Intro to Cell Biology,Molec,,22,24,91.66666667
20182019,fall,2018,BIOL-250,BIOL-250,Intro to Cell Biology,Molec,,20,,#DIV/0!
20172018,spr,2018,BIOL-250,BIOL-250,Intro to Cell Biology,Molec,,19,,#DIV/0!
20192020,fall,2019,BIOL-250,BIOL-250,Intro to Cell Biology,Molec,,24,,#DIV/0!
20182019,spr,2019,BIOL-250,BIOL-250,Intro to Cell Biology,Molec,,9,,#DIV/0!
20202021,fall,2020,BIOL-250,BIOL-250,Intro to Cell Biology,Molec,,26,,#DIV/0!
20192020,spr,2020,BIOL-250,BIOL-250,Intro to Cell Biology,Molec,,10,,#DIV/0!
20202021,spr,2021,BIOL-250,BIOL-250,Intro to Cell Biology,Molec,,9,,#DIV/0!
20212022,spr,2022,BIOL-250,BIOL-250,Intro to Cell Biology,Molec,,10,,#DIV/0!
20172018,fall,2017,BIOL-3057,BIOL-216,Intro to Public Health,BMS,,18,,#DIV/0!
20192020,fall,2019,BIOL-3057,BIOL-216,Intro to Public Health,BMS,,16,,#DIV/0!
20182019,spr,2019,BIOL-3057,BIOL-216,Intro to Public Health,BMS,,14,,#DIV/0!
20202021,fall,2020,BIOL-216,BIOL-216,Intro to Public Health,BMS,,11,,#DIV/0!
20192020,spr,2020,BIOL-216,BIOL-216,Intro to Public Health,BMS,,16,,#DIV/0!
20172018,fall,2017,BIOL-392,BIOL-392,ReMeth:Fluro&ConfocMicros w/L,Molec,,6,,#DIV/0!
20182019,fall,2018,BIOL-392,BIOL-392,ReMeth:Fluro&ConfocMicros w/L,Molec,,8,,#DIV/0!
20172018,spr,2018,BIOL-392,BIOL-392,ReMeth:Fluro&ConfocMicros w/L,Molec,,9,,#DIV/0!
20192020,fall,2019,BIOL-392,BIOL-392,ReMeth:Fluro&ConfocMicros w/L,Molec,,10,,#DIV/0!
20182019,spr,2019,BIOL-392,BIOL-392,ReMeth:Fluro&ConfocMicros w/L,Molec,,11,,#DIV/0!
20192020,spr,2020,BIOL-392,BIOL-392,ReMeth:Fluro&ConfocMicros w/L,Molec,,10,,#DIV/0!
20212022,fall,2021,BIOL-392,BIOL-392,ReMeth:Fluro&ConfocMicros w/L,Molec,,8,,#DIV/0!
20212022,spr,2022,BIOL-392,BIOL-392,ReMeth:Fluro&ConfocMicros w/L,Molec,,9,,#DIV/0!
20172018,spr,2018,BIOL-252,BIOL-252,Res Meth Cell Bio w/Lab,Molec,,8,,#DIV/0!
20192020,spr,2020,BIOL-252,BIOL-252,Res Meth Cell Bio w/Lab,Molec,,11,,#DIV/0!
20212022,spr,2022,BIOL-252,BIOL-252,Res Meth Cell Bio w/Lab,Molec,,10,,#DIV/0!
20172018,spr,2018,BIOL-394,BIOL-394,Rsch Methods in Biochemistry,Molec,,13,,#DIV/0!
20192020,spr,2020,BIOL-394,BIOL-394,Rsch Methods in Biochemistry,Molec,,5,,#DIV/0!
20202021,spr,2021,BIOL-394,BIOL-394,Rsch Methods in Biochemistry,Molec,,5,,#DIV/0!
20212022,spr,2022,BIOL-394,BIOL-394,Rsch Methods in Biochemistry,Molec,,9,,#DIV/0!
20182019,fall,2018,BIOL-395,BIOL-395,RschMeth:Molecular Biol w/Lab,Molec,,17,,#DIV/0!
20192020,fall,2019,BIOL-395,BIOL-395,RschMeth:Molecular Biol w/Lab,Molec,,6,,#DIV/0!
20202021,fall,2020,BIOL-395,BIOL-395,RschMeth:Molecular Biol w/Lab,Molec,,14,,#DIV/0!
20212022,fall,2021,BIOL-395,BIOL-395,RschMeth:Molecular Biol w/Lab,Molec,,14,,#DIV/0!
20172018,fall,2017,BIOL-391,BIOL-391,Scanning Electron Microscopy,Molec,,1,,#DIV/0!
20182019,fall,2018,BIOL-391,BIOL-391,Scanning Electron Microscopy,Molec,,2,,#DIV/0!
20192020,fall,2019,BIOL-391,BIOL-391,Scanning Electron Microscopy,Molec,,4,,#DIV/0!
20202021,su,2021,BIOL-3097,BIOL-3097,The Science of Brewing,NM,,9,,#DIV/0!
20212022,spr,2022,BIOL-3097,BIOL-3097,The Science of Brewing,NM,,15,,#DIV/0!
